analysis_version,analysis_unit,scenario_id,subset_rule,cohort,record_n,slope_n,event_n,ar_n,quality_nonzero_n,missing_history_n,mean_slope,median_slope,min_slope,max_slope,positive_slope_n,negative_slope_n,near_zero_n_abs_le_0_05,positive_fraction,ar_median_mean,ar_median_median,ar_median_min,ar_median_max,paired_ar_n,ar_unweighted_mean_difference,ar_unweighted_median_difference,ar_difference_min,ar_difference_max,ar_positive_difference_n,ar_differences,interpretation_boundary
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,BASELINE,最终55条；主门+M+筛查,POSITIVE_CANDIDATE,37,37,4,4,4,5,0.16188,0.20756,-0.619838,0.669735,26,11,2,0.702703,-0.00294,0.152865,-0.619838,0.302346,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,BASELINE,最终55条；主门+M+筛查,NEGATIVE_CANDIDATE,18,18,4,4,2,2,-0.108785,-0.154577,-0.597147,0.883588,5,13,1,0.277778,-0.114227,-0.147848,-0.310688,0.149478,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,BASELINE,最终55条；主门+M+筛查,POSITIVE_MINUS_CONTROL,,,,4,,,,,,,,,,,,,,,4,0.111286,0.134346,-0.436581,0.613034,3,AR11158:0.613034;AR11429:0.202844;AR12297:0.065849;AR12673:-0.436581,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,QUALITY_ZERO,仅QUALITY=0,POSITIVE_CANDIDATE,33,33,3,3,0,5,0.166493,0.206748,-0.452713,0.669735,23,10,2,0.69697,0.159203,0.215327,-0.040063,0.302346,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,QUALITY_ZERO,仅QUALITY=0,NEGATIVE_CANDIDATE,16,16,4,4,0,2,-0.114519,-0.192352,-0.597147,0.883588,5,11,0,0.3125,-0.144941,-0.147848,-0.433544,0.149478,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,QUALITY_ZERO,仅QUALITY=0,POSITIVE_MINUS_CONTROL,,,,3,,,,,,,,,,,,,,,3,0.291372,0.072377,0.065849,0.73589,3,AR11158:0.735890;AR11429:0.072377;AR12297:0.065849,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,STRICT_BASELINE,passes_strict_baseline=1（16/16且QUALITY=0等）,POSITIVE_CANDIDATE,8,8,2,2,0,0,0.425905,0.441194,0.078529,0.669735,8,0,0,1,0.387996,0.387996,0.276735,0.499257,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,STRICT_BASELINE,passes_strict_baseline=1（16/16且QUALITY=0等）,NEGATIVE_CANDIDATE,7,7,4,4,0,0,0.259515,0.149478,-0.183257,0.883588,5,2,0,0.714286,0.150696,0.189257,-0.125897,0.350166,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,AR_MEDIAN_CONTRAST,STRICT_BASELINE,passes_strict_baseline=1（16/16且QUALITY=0等）,POSITIVE_MINUS_CONTROL,,,,2,,,,,,,,,,,,,,,2,0.198739,0.198739,0.127257,0.27022,2,AR11158:0.270220;AR12297:0.127257,每个AR先取两组中位斜率再作差；仅4个或更少AR，不作显著性推断。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,HISTORY_16_OF_16,历史窗16/16且零缺帧,POSITIVE_CANDIDATE,32,32,4,4,4,0,0.154593,0.213129,-0.619838,0.669735,21,11,2,0.65625,0.012412,0.183569,-0.619838,0.302346,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
曾子晖_反例分析_20260810,RECORD_DESCRIPTION_WITH_AR_SUMMARY,HISTORY_16_OF_16,历史窗16/16且零缺帧,NEGATIVE_CANDIDATE,16,16,4,4,2,0,-0.103607,-0.154577,-0.597147,0.883588,5,11,1,0.3125,0.015765,0.01179,-0.310688,0.350166,,,,,,,,记录层仅作描述；独立统计单位为事件/AR。
