layer,bundle_path,source_path,role,result_usage,review_note,data_rows,bytes,source_sha256,copied_sha256
核心输入,01_核心输入与规则/01_event_seed_table.csv,02_数据与规则/03_event_seed_table.csv,6 个事件种子及事件窗口的起点。,主运行输入,事件 provenance 仍需按原审计表保留，不由下游结果反向确认。,6,1475,24f9b444bb3ac4372970992d426af93660c3763a5a4410ccd7f56a60b62bf746,24f9b444bb3ac4372970992d426af93660c3763a5a4410ccd7f56a60b62bf746
核心输入,01_核心输入与规则/02_jsoc_query_manifest.csv,02_数据与规则/04_jsoc_query_manifest.csv,6 个事件的 JSOC 关键词查询定义与返回状态。,主运行输入,用于说明理论 360 条与实际 333 条的来源。,6,3140,6793c07cb2cbf951c4729f49c27ff7d78094bb671e845493b399524948250885,6793c07cb2cbf951c4729f49c27ff7d78094bb671e845493b399524948250885
核心输入,01_核心输入与规则/03_event_provenance_audit.csv,02_数据与规则/05_event_provenance_audit.csv,事件来源、AR/HARP 映射与官方快照状态。,主运行输入,所有事件当前均为 NEEDS_CLARIFICATION。,6,2138,59471a2f38718a9cb2e18a9f30b7cd53e6fb73c0f4c2bb643f7728164042af98,59471a2f38718a9cb2e18a9f30b7cd53e6fb73c0f4c2bb643f7728164042af98
核心规则,01_核心输入与规则/04_数据处理规则.md,02_数据与规则/01_数据处理规则.md,主线的时间、AR、QUALITY、历史窗、位置和 control 规则。,主运行规则,本包不引入其他版本或后续规划性规则。,-,2192,01c8b99b20361b4a10f63f064a510ebe155999a7751af5361cb602486a113025,01c8b99b20361b4a10f63f064a510ebe155999a7751af5361cb602486a113025
核心规则,01_核心输入与规则/05_DataPlan.md,02_数据与规则/02_DataPlan.md,本 Demo 已采用的标签、主估计量和输出边界。,主运行规则,记录层只用于 Demo 描述，不转化为独立样本推断。,-,1311,dd927cbeac1e5d5a1df2291ac4565902d7e2a8295047223c91ea0cfa4d114cfe,dd927cbeac1e5d5a1df2291ac4565902d7e2a8295047223c91ea0cfa4d114cfe
核心规则,01_核心输入与规则/06_QUALITY位掩码处理规则.md,02_数据与规则/06_QUALITY位掩码处理规则.md,QUALITY 主线与 strict 敏感性线的处理方式。,主运行规则,非零且非致命 QUALITY 不等同于自动排除。,-,782,44d99257b1ff95c7cac3c4d41064afa907685872068bc2044b88ba3f402c499c,44d99257b1ff95c7cac3c4d41064afa907685872068bc2044b88ba3f402c499c
主运行记录,02_主运行记录/01_all_returned_records_with_final_status.csv,03_结果数据/01_all_sample_supplement.csv,333 条实际 JSOC 关键词返回记录及其最终状态。,主运行输入与门控结果,这是上游记录池，不是最终分析样本。,333,238258,ac2e0abda1a2416d014affc4e234007156f0ff77eff042c5653ed90a3fc93be9,ac2e0abda1a2416d014affc4e234007156f0ff77eff042c5653ed90a3fc93be9
主运行记录,02_主运行记录/02_gate_counts.csv,03_结果数据/04_gate_counts.csv,查询、门控、buffer 和最终样本数量。,主运行结果汇总,各行属于不同处理层，不能机械相减。,40,3907,a0828da64d83b2fc571f5e557d042479ed12e08eed4eea4f6157262a8ba6c113,a0828da64d83b2fc571f5e557d042479ed12e08eed4eea4f6157262a8ba6c113
主运行记录,02_主运行记录/03_quality_bit_policy.csv,03_结果数据/07_quality_bit_policy.csv,质量位掩码的行级处理结果。,主运行审计,与规则文档共同解释 QUALITY 口径。,5,1452,3a6bd9629f242df8deb9e7fabdd6aab39bc16cf8c01dfc8d4e06fe9335351ab4,3a6bd9629f242df8deb9e7fabdd6aab39bc16cf8c01dfc8d4e06fe9335351ab4
主运行记录,02_主运行记录/04_cadence_audit.csv,03_结果数据/08_cadence_audit.csv,三小时历史窗的实际时间轴与缺帧审计。,主运行审计,不能把理论 16 帧误写为每个窗口都实际返回 16 帧。,6,2190,80275f7f37a2c9fe81628eab92c915247f38f06e2e94aa31cfb6e7054d3cd9d7,80275f7f37a2c9fe81628eab92c915247f38f06e2e94aa31cfb6e7054d3cd9d7
最终结果,03_最终Demo结果/01_final_analysis_sample.csv,03_结果数据/10_final_analysis_sample.csv,55 条最终分析记录的唯一权威样本表。,直接进入 Demo 结果,37 条正候选和 18 条同 AR 时间 control，不是 55 个独立样本。,55,40572,f979bd0662eb59a2d145dc834d878cea654a9e0e77ad31ba1045fdfbff7efce7,f979bd0662eb59a2d145dc834d878cea654a9e0e77ad31ba1045fdfbff7efce7
最终结果,03_最终Demo结果/02_continuous_distribution.csv,03_结果数据/05_continuous_distribution.csv,主线和 strict 线的 SHRGT45 斜率分布汇总。,直接进入 Demo 结果,仅作记录层描述性汇总。,4,955,4a7e82ace80ed52c89dc6f1dc072886dc0a6bc509a33464fe17d129db6d8c73e,4a7e82ace80ed52c89dc6f1dc072886dc0a6bc509a33464fe17d129db6d8c73e
最终结果,03_最终Demo结果/03_usflux_context_correlation.csv,03_结果数据/06_usflux_context_correlation.csv,USFLUX 与 SHRGT45 的背景关系。,直接进入 Demo 结果,相关不构成因果解释。,10,1358,bcd9f79b5878210d78b8d9d437af749782764b7d32e1f86402b9694111eaf26e,bcd9f79b5878210d78b8d9d437af749782764b7d32e1f86402b9694111eaf26e
control 审计,04_control审计与替换依据/01_final_control_audit.csv,03_结果数据/11_final_control_audit.csv,51 条临时 control 的完整未来 0--6 小时 M+ 区间审计。,直接支撑最终 control 身份,36 条排除、15 条保留；不能用起始时刻替代完整事件区间。,51,5578,6d647ba614777d6cc9a2f796c9216c90ef6e932251b1d4086d5cc16a49928ac7,6d647ba614777d6cc9a2f796c9216c90ef6e932251b1d4086d5cc16a49928ac7
